Age,male,female
0,13.44781816,13.38110038
1,14.92907634,14.52755634
2,16.31038717,15.74672719
3,16.89710147,16.34554719
4,17.15652467,16.66262151
5,17.29273765,16.82621014
6,17.34984591,16.88894595
7,17.34421333,16.87921306
8,17.28455897,16.81718214
9,17.18584939,16.7179169
10,17.06642615,16.59605602
11,16.94050503,16.46493247
12,16.81439629,16.33395452
13,16.69052372,16.20785921
14,16.57206977,16.08970856
15,16.46025717,15.98059958
16,16.35536369,15.88069024
17,16.25712614,15.78991752
18,16.16568409,15.70750527
19,16.08122784,15.63269283
20,16.00406763,15.56517295
21,15.93364361,15.50508051
22,15.86989736,15.45271328
23,15.81137066,15.40778662
24,16.57502768,16.42339664
24.5,16.54777487,16.38804056
25,16.52110125,16.35350623
25.5,16.49442763,16.3189719
26,16.46851158,16.28552587
26.5,16.44259552,16.25207985
27,16.41741946,16.21971327
27.5,16.3922434,16.18734669
28,16.36778997,16.15605058
28.5,16.34333654,16.12475448
29,16.31958876,16.09452105
29.5,16.29584097,16.06428762
30,16.27278234,16.03510882
30.5,16.24972371,16.00593001
31,16.2273382,15.97779816
31.5,16.20495268,15.94966631
32,16.1832257,15.92257414
32.5,16.16149871,15.89548197
33,16.14041565,15.86942188
33.5,16.11933258,15.84336179
34,16.09888008,15.81832662
34.5,16.07842758,15.79329146
35,16.05859327,15.76927393
35.5,16.03875896,15.7452564
36,16.01953149,15.72224914
36.5,16.00030401,15.69924188
37,15.98167339,15.67723735
37.5,15.96304277,15.65523282
38,15.94499847,15.63422327
38.5,15.92695418,15.61321371
39,15.90949,15.59319107
39.5,15.89202582,15.57316843
40,15.87513337,15.55412431
40.5,15.85824093,15.53508019
41,15.84191458,15.51700582
41.5,15.82558822,15.49893145
42,15.80982275,15.48181765
42.5,15.79405728,15.46470384
43,15.77884992,15.44854101
43.5,15.76364255,15.43237817
44,15.74898962,15.41715627
44.5,15.73433668,15.40193436
45,15.72023617,15.38764295
45.5,15.70613566,15.37335154
46,15.69258814,15.35997998
46.5,15.67904062,15.34660842
47,15.66604627,15.33414511
47.5,15.65305192,15.32168181
48,15.6406123,15.31011539
48.5,15.62817269,15.29854897
49,15.61629034,15.28786758
49.5,15.604408,15.27718618
50,15.59308629,15.26737769
50.5,15.58176458,15.2575692
51,15.57100762,15.24862129
51.5,15.56025067,15.23967338
52,15.55006263,15.23157355
52.5,15.5398746,15.22347371
53,15.53026226,15.21620931
53.5,15.52064993,15.20894491
54,15.5116171,15.20250321
54.5,15.50258427,15.19606152
55,15.494137,15.19042975
55.5,15.48568973,15.18479799
56,15.47783345,15.17996335
56.5,15.46997718,15.17512871
57,15.46271705,15.17107841
57.5,15.45545692,15.16702811
58,15.44879826,15.1637494
